dialogue_id,speaker,turn,act_1,act_2,act_3
37_00000,USER,I'm looking for one-way flights. Can you help me?,INFORM_INTENT,,
37_00000,SYSTEM,What date did you want to fly out on?,REQUEST,,
37_00000,USER,I'll be leaving on the day after tomorrow.,INFORM,,
37_00000,SYSTEM,"What destination did you have in mind? Also, did you want to fly out of anywhere in particular?",REQUEST,,
37_00000,USER,"Yes, I'll be headed to Portland, OR from Seattle.",INFORM,,
37_00000,SYSTEM,"Okay, there's an American Airlines flight at $75. It takes off at 8:05 am and has 0 layovers.",OFFER,,
37_00000,USER,I'd actually prefer Delta Airlines. Are there any options there?,INFORM,REQUEST_ALTS,
37_00000,SYSTEM,There's a Delta Airlines flight at $82 that might work. It's also got 0 layovers and leaves at 7:55 am.,OFFER,,
37_00000,USER,That option is a good fit.,SELECT,,
37_00000,SYSTEM,Do you want me to purchase a ticket for it now?,OFFER_INTENT,,
37_00000,USER,"No, that's okay. Let's wait on that.",NEGATE_INTENT,,
37_00000,SYSTEM,Do you need help with anything else then?,REQ_MORE,,
37_00000,USER,"Yes, let's look at round trip flights now. I've got two people in my group and want to come back on March 5th.",INFORM,,INFORM_INTENT
37_00000,SYSTEM,"Okay, I've found 1 flight that'll work for you. It's Delta Airlines as preferred and costs $83. The flight out is at 7:55 am, and the trip back takes off at 9:35 am.",OFFER,,
37_00000,USER,"When does the trip out there land? Also, are the tickets refundable?",REQUEST,,
37_00000,SYSTEM,"They are non-refundable unfortunately. However, the flight will arrive at 8:53 am.",INFORM,,
37_00000,USER,"Okay, that sounds like a good choice.",SELECT,,
37_00000,SYSTEM,Do you want me to purchase tickets for this flight?,OFFER_INTENT,,
37_00000,USER,"Yes, let's go ahead and book the seats.",AFFIRM_INTENT,,
37_00000,SYSTEM,Let's confirm the details first. You're flying out of Seattle and to Portland on the day after tomorrow. The flight is with Delta Airlines and will take off at 7:55 am. The return trip is next Tuesday at 9:35 am. You want 2 tickets in Economy seating.,CONFIRM,,
37_00000,USER,Right. That works for me.,AFFIRM,,
37_00000,SYSTEM,"Okay, your ticket purchase is confirmed.",NOTIFY_SUCCESS,,
37_00000,USER,Thanks for the help.,THANK_YOU,,
37_00000,SYSTEM,Do you need anything else right now?,REQ_MORE,,
37_00000,USER,"No, I'm alright. Thanks again.",NEGATE,THANK_YOU,
