dialogue_id,turn,Model,words,sentences,quest_mark,whq,imper_quest,places_services,simple_quest,sensitive_data,interjections,conditional_vb
1_00000,I am feeling hungry so I would like to find a place to eat.,1,14,1,0,0,0,0,0,0,0,1
1_00000,I would like for it to be in San Jose.,1,10,1,0,0,0,1,0,0,0,1
1_00000,I usually like eating the American type of food.,1,9,1,0,0,0,1,0,0,0,0
1_00000,Can you give me the address of this restaurant.,0,9,1,0,0,0,0,0,0,0,0
1_00000,Can you give me the phone number that I can contact them with?,0,13,1,1,0,0,0,0,0,0,0
1_00000,Is there some other restaurant which you can suggest?,0,9,1,1,0,0,0,0,0,0,0
1_00000,Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.,1,21,2,1,0,1,1,0,0,0,0
1_00000,"Alright, that seems good. I would like to make a booking at this restaurant.",1,14,2,0,0,0,0,0,0,0,1
1_00000,I will be eating there at 11:30 am so make it for then.,1,13,1,0,0,0,0,0,1,0,0
1_00000,That suits me well. Can you tell me if they feature live music?,1,13,2,1,0,0,0,0,0,0,0
1_00000,Will I be able to find liquor there? Can you give me the address of their location?,1,17,2,1,0,0,0,0,0,0,0
1_00000,I appreciate it very much. That would be all.,1,9,2,0,0,0,0,0,0,0,1
1_00002,Help me find a good restaurant.,0,6,1,0,0,1,0,0,0,0,0
1_00002,Find me Ethiopian cuisine in Berkeley.,0,6,1,0,0,1,1,0,0,0,0
1_00002,Do they have live music?,0,5,1,1,0,1,0,1,0,0,0
1_00002,That's okay. I'd like to reserve a table for the 4th.,1,13,2,0,0,0,0,0,1,0,1
1_00002,Reserve the table for the 2nd of this month at 17:15.,0,11,1,0,0,1,0,0,1,0,0
1_00002,That's right. Do they serve alcohol? And how expensive is the place?,1,13,3,1,1,1,0,0,0,0,0
1_00002,Can you check if a table is available at 17:30?,0,10,1,1,0,0,0,0,1,0,0
1_00002,That's correct.,0,3,1,0,0,0,0,0,0,0,0
1_00002,Thank you. That's all I need for now.,1,9,2,0,0,0,0,0,0,0,0
1_00003,I'm looking for a place to eat.,1,8,1,0,0,0,0,0,0,0,0
1_00003,Some Freshwater fish kind of food in Palo Alto would be perfect.,1,12,1,0,0,0,1,0,0,0,1
1_00003,Could you suggest any other restaurant?,1,6,1,1,0,0,0,1,0,0,1
1_00003,"Yes, that works for me.",1,5,1,0,0,0,0,0,0,0,0
1_00003,"Yes, I want to make a reservation for one. Make it at half past 6 in the evening.",0,18,2,0,0,1,0,0,1,0,0
1_00003,"Yes, that works for me. How pricey are they? What is their contact number?",1,14,3,1,1,0,0,0,0,0,0
1_00003,Thank you very much.,1,4,1,0,0,0,0,0,0,1,0
1_00003,"No, thank you very much.",1,5,1,0,0,0,0,0,0,1,0
1_00004,I'd like to find a place to eat.,1,9,1,0,0,0,0,0,0,0,1
1_00004,Lobster sounds great. Please search in San Mateo.,1,8,2,0,0,0,1,0,0,1,0
1_00004,What's their phone number?,0,5,1,1,1,0,0,1,0,0,0
1_00004,Any other suggestions?,0,3,1,1,0,0,0,1,0,0,0
1_00004,Do they have live music?,0,5,1,1,0,1,0,1,0,0,0
1_00004,Any other suggestions?,0,3,1,1,0,0,0,1,0,0,0
1_00004,That would work great. I would like to make a reservation there at evening 5:30 on March 14th.,1,18,2,0,0,0,1,0,1,1,1
1_00004,"Yes, that would be great. Do they serve liquor or have live music?",1,13,2,1,0,1,0,0,0,1,1
1_00004,Thanks so much!,1,3,1,0,0,0,0,0,0,0,0
1_00004,"Nope, that'll be all. Thanks!",1,6,2,0,0,0,0,0,0,0,0
1_00005,I'm looking for a Filipino place to eat.,0,9,1,0,0,0,1,0,0,0,0
1_00005,I want to eat in San Bruno,0,7,1,0,0,0,1,0,0,0,0
1_00005,Any other suggestions?,0,3,1,1,0,0,0,1,0,0,0
1_00005,How cheap is it and how much does it cost?,1,10,1,1,1,0,0,0,0,0,0
1_00005,Please can you make the reservation,1,6,1,0,0,0,0,0,0,1,0
1_00005,On the 12th at six pm,0,6,1,0,0,0,0,0,1,0,0
1_00005,That's good. Do they serve liquor and what is there number?,1,12,2,1,1,1,0,0,0,0,0
1_00005,Thanks a lot,1,3,1,0,0,0,0,0,0,0,0
1_00006,Can you help find a place to eat?,0,8,1,1,0,0,0,0,0,0,0
1_00006,I would like Freshwater fish.,1,5,1,0,0,0,0,0,0,0,1
1_00006,The city is San Jose.,0,5,1,0,0,0,1,0,0,0,0
1_00006,Yes that is fine.,1,4,1,0,0,0,0,0,0,0,0
1_00006,Yes make it for March 10th.,0,6,1,0,0,0,1,0,1,0,0
1_00006,Reserve for six in the evening.,0,6,1,0,0,1,0,0,0,0,0
1_00006,Yes what is the address and do they have live music?,1,11,1,1,1,0,0,0,0,0,0
1_00006,Thank you for all.,1,4,1,0,0,0,0,0,0,1,0
1_00006,"No, that is all.",0,4,1,0,0,0,0,0,0,0,0
1_00007,My friend and I are looking for a place to eat.,1,11,1,0,0,0,0,0,0,0,0
1_00007,My family and I are in San Jose and the perfect place would have pizza and pasta. We don't have a price preference.,1,24,2,0,0,0,1,0,0,0,1
1_00007,Is there any other restaurant that you can suggest?,0,9,1,1,0,0,0,0,0,0,0
1_00007,Can I please have the address and contact number?,1,9,1,1,0,0,0,0,0,1,0
1_00007,Is there any other restaurant that you can suggest?,0,9,1,1,0,0,0,0,0,0,0
1_00007,That restaurant will work can you please make a reservation for 12:30.,1,12,1,0,0,0,0,0,1,1,0
1_00007,"Yes, thank you that is correct.",1,6,1,0,0,0,0,0,0,0,0
1_00007,Thank you so much for setting that up.,1,8,1,0,0,0,0,0,0,1,0
1_00007,That is all thank you so much.,1,7,1,0,0,0,0,0,0,1,0
1_00008,Can you find me something economical to eat in Pleasanton.,0,10,1,0,0,0,1,0,0,0,0
1_00008,I would like some Italian food.,1,6,1,0,0,0,1,0,0,0,1
1_00008,Can you provide the address and do they have live music?,1,11,1,1,0,0,0,0,0,0,0
1_00008,Any other recommendation?,0,3,1,1,0,0,0,1,0,0,0
1_00008,Can you provide more options?,0,5,1,1,0,0,0,1,0,0,0
